city,timestamp,temperature,season
New York,2010-01-01,-0.04377568345133757,winter
New York,2010-01-02,-3.9264860699726603,winter
New York,2010-01-03,-0.8742278657825325,winter
New York,2010-01-04,-4.809363105839789,winter
New York,2010-01-05,-3.9420167712199587,winter
New York,2010-01-06,5.805730067309547,winter
New York,2010-01-07,2.6211333552501563,winter
New York,2010-01-08,2.905084533552417,winter
New York,2010-01-09,5.170811272984972,winter
New York,2010-01-10,2.6627987533083703,winter
New York,2010-01-11,2.4173861021175402,winter
New York,2010-01-12,-7.2066062656457515,winter
New York,2010-01-13,9.550457122583483,winter
New York,2010-01-14,-1.151940614063351,winter
New York,2010-01-15,-8.31545827915946,winter
New York,2010-01-16,-4.930642493446355,winter
New York,2010-01-17,2.79862926351388,winter
New York,2010-01-18,5.065004486989126,winter
New York,2010-01-19,-11.851199852695986,winter
New York,2010-01-20,-3.192040620897503,winter
New York,2010-01-21,4.646154298494778,winter
New York,2010-01-22,2.983356557967378,winter
New York,2010-01-23,10.877483375729366,winter
New York,2010-01-24,-6.276055557679522,winter
New York,2010-01-25,14.330233441691064,winter
New York,2010-01-26,-3.1403111239073036,winter
New York,2010-01-27,-3.283153244565138,winter
New York,2010-01-28,-3.805530064404569,winter
New York,2010-01-29,4.844726818749655,winter
New York,2010-01-30,4.594367153263045,winter
New York,2010-01-31,-12.983073431429844,winter
New York,2010-02-01,-3.90205387325062,winter
New York,2010-02-02,10.039647504726862,winter
New York,2010-02-03,9.747573248943912,winter
New York,2010-02-04,2.643417967151941,winter
New York,2010-02-05,-3.626894844062784,winter
New York,2010-02-06,4.7503976343213,winter
New York,2010-02-07,-1.9970962593068897,winter
New York,2010-02-08,4.41700411841844,winter
New York,2010-02-09,-3.742826652943511,winter
New York,2010-02-10,3.5155825414612654,winter
New York,2010-02-11,1.5329152568428086,winter
New York,2010-02-12,3.7397309138486463,winter
New York,2010-02-13,1.9328916018192643,winter
New York,2010-02-14,-1.039025153241213,winter
New York,2010-02-15,3.72767975581998,winter
New York,2010-02-16,4.86501355108673,winter
New York,2010-02-17,-0.7494400714055438,winter
New York,2010-02-18,-8.867594474817803,winter
New York,2010-02-19,3.328121578367268,winter
New York,2010-02-20,4.440422606596698,winter
New York,2010-02-21,2.839533986059164,winter
New York,2010-02-22,1.7661876956514344,winter
New York,2010-02-23,-8.725958816127614,winter
New York,2010-02-24,-3.632818787551491,winter
New York,2010-02-25,1.911920165450929,winter
New York,2010-02-26,-1.0000231089563496,winter
New York,2010-02-27,3.2094497723632607,winter
New York,2010-02-28,6.723642058179632,winter
New York,2010-03-01,10.184433142564265,spring
New York,2010-03-02,14.22808872569022,spring
New York,2010-03-03,8.141185235254731,spring
New York,2010-03-04,11.056514950757268,spring
New York,2010-03-05,4.8035696086650255,spring
New York,2010-03-06,16.65900902518087,spring
New York,2010-03-07,6.623270460621347,spring
New York,2010-03-08,8.353273767903513,spring
New York,2010-03-09,9.820182094793845,spring
New York,2010-03-10,8.666557713088167,spring
New York,2010-03-11,6.3651263140087195,spring
New York,2010-03-12,8.767999243446408,spring
New York,2010-03-13,7.592992831276872,spring
New York,2010-03-14,10.121137561632066,spring
New York,2010-03-15,3.346281183706595,spring
New York,2010-03-16,11.389275027896193,spring
New York,2010-03-17,13.725253944019185,spring
New York,2010-03-18,6.831147693199325,spring
New York,2010-03-19,13.343118082202363,spring
New York,2010-03-20,18.92763580767685,spring
New York,2010-03-21,4.545197764370682,spring
New York,2010-03-22,15.013648776350344,spring
New York,2010-03-23,12.184191837121052,spring
New York,2010-03-24,10.008873463937467,spring
New York,2010-03-25,2.244080799437656,spring
New York,2010-03-26,2.7862623350304876,spring
New York,2010-03-27,6.738512200313453,spring
New York,2010-03-28,9.632705323281526,spring
New York,2010-03-29,3.3664345909867652,spring
New York,2010-03-30,9.636865676665328,spring
New York,2010-03-31,3.957807597010979,spring
New York,2010-04-01,11.418064095885443,spring
New York,2010-04-02,18.17482971638372,spring
New York,2010-04-03,9.393431508426575,spring
New York,2010-04-04,12.726326015443789,spring
New York,2010-04-05,14.94956918370756,spring
New York,2010-04-06,3.2756422268374887,spring
New York,2010-04-07,19.568814651185455,spring
New York,2010-04-08,7.980280887529856,spring
New York,2010-04-09,11.819335237424834,spring
New York,2010-04-10,12.875677088138216,spring
New York,2010-04-11,5.0070426402689225,spring
New York,2010-04-12,9.833189105244466,spring
New York,2010-04-13,-0.7471253842994603,spring
New York,2010-04-14,6.216235797387493,spring
New York,2010-04-15,2.7510113182078015,spring
New York,2010-04-16,16.542271124613023,spring
New York,2010-04-17,7.88983791010482,spring
New York,2010-04-18,11.866659632609368,spring
New York,2010-04-19,6.536321976523552,spring
New York,2010-04-20,13.849416940536685,spring
New York,2010-04-21,5.937730032006497,spring
New York,2010-04-22,13.53528034146224,spring
New York,2010-04-23,10.596435406156981,spring
New York,2010-04-24,16.63170563592322,spring
New York,2010-04-25,14.96539837921691,spring
New York,2010-04-26,16.873905048821698,spring
New York,2010-04-27,13.319103997641433,spring
New York,2010-04-28,8.93531489449227,spring
New York,2010-04-29,8.680096352308897,spring
New York,2010-04-30,9.496762379001142,spring
New York,2010-05-01,14.543201911015778,spring
New York,2010-05-02,19.529421234268206,spring
New York,2010-05-03,13.283996108927614,spring
New York,2010-05-04,8.678497613436281,spring
New York,2010-05-05,11.996559559034024,spring
New York,2010-05-06,15.999171901974384,spring
New York,2010-05-07,14.100341417936404,spring
New York,2010-05-08,14.310820672060512,spring
New York,2010-05-09,9.404458775861222,spring
New York,2010-05-10,16.628828641535755,spring
New York,2010-05-11,6.9111331109180085,spring
New York,2010-05-12,20.296245527867395,spring
New York,2010-05-13,18.311217810318748,spring
New York,2010-05-14,9.891653196195076,spring
New York,2010-05-15,11.280886475696082,spring
New York,2010-05-16,9.359478683124141,spring
New York,2010-05-17,21.920704348398694,spring
New York,2010-05-18,5.289055259850228,spring
New York,2010-05-19,7.663866747708662,spring
New York,2010-05-20,10.488421557984282,spring
New York,2010-05-21,7.601090865480614,spring
New York,2010-05-22,13.523426306225797,spring
New York,2010-05-23,18.747014269560275,spring
New York,2010-05-24,2.859101240488224,spring
New York,2010-05-25,1.3703573955032127,spring
New York,2010-05-26,6.704238877297957,spring
New York,2010-05-27,9.423057769254688,spring
New York,2010-05-28,16.007703841796815,spring
New York,2010-05-29,8.221763984106726,spring
New York,2010-05-30,6.909970539184442,spring
New York,2010-05-31,15.527248397063572,spring
New York,2010-06-01,27.611929540356535,summer
New York,2010-06-02,26.250165189554412,summer
New York,2010-06-03,19.41769780141314,summer
New York,2010-06-04,21.35573925247494,summer
New York,2010-06-05,29.552884787359638,summer
New York,2010-06-06,27.634269333564685,summer
New York,2010-06-07,26.196889221658573,summer
New York,2010-06-08,25.202757162513468,summer
New York,2010-06-09,15.931316197144934,summer
New York,2010-06-10,30.44400607536548,summer
New York,2010-06-11,31.709100394773085,summer
New York,2010-06-12,18.902735113590776,summer
New York,2010-06-13,32.03509500295979,summer
New York,2010-06-14,19.51203173017755,summer
New York,2010-06-15,30.426515439140974,summer
New York,2010-06-16,22.61970273765046,summer
New York,2010-06-17,29.2497973932941,summer
New York,2010-06-18,27.07555982843267,summer
New York,2010-06-19,28.90783079654394,summer
New York,2010-06-20,20.38242881811275,summer
New York,2010-06-21,31.851670628510295,summer
New York,2010-06-22,30.341414510249713,summer
New York,2010-06-23,19.99755069454711,summer
New York,2010-06-24,23.591977403653747,summer
New York,2010-06-25,17.522061354720083,summer
New York,2010-06-26,25.847135556832402,summer
New York,2010-06-27,34.25646308022142,summer
New York,2010-06-28,35.536356211531945,summer
New York,2010-06-29,24.570449940044952,summer
New York,2010-06-30,15.561568047887405,summer
New York,2010-07-01,23.12654394569289,summer
New York,2010-07-02,34.88726402479399,summer
New York,2010-07-03,28.91095379512435,summer
New York,2010-07-04,30.593031134715638,summer
New York,2010-07-05,16.19344970258345,summer
New York,2010-07-06,30.627051573937862,summer
New York,2010-07-07,27.133026974797527,summer
New York,2010-07-08,24.346798622865126,summer
New York,2010-07-09,17.24553273151547,summer
New York,2010-07-10,21.451852987053122,summer
New York,2010-07-11,27.232532004366035,summer
New York,2010-07-12,28.799304104639965,summer
New York,2010-07-13,28.398204992892886,summer
New York,2010-07-14,19.72804482534172,summer
New York,2010-07-15,18.57398265622934,summer
New York,2010-07-16,27.235419067475924,summer
New York,2010-07-17,29.602860626150573,summer
New York,2010-07-18,14.453263395111922,summer
New York,2010-07-19,28.959705921908927,summer
New York,2010-07-20,20.2720297262414,summer
New York,2010-07-21,27.254676698349567,summer
New York,2010-07-22,29.695783964498315,summer
New York,2010-07-23,23.434752755541183,summer
New York,2010-07-24,23.95447309916551,summer
New York,2010-07-25,28.202954041700423,summer
New York,2010-07-26,31.138295308659647,summer
New York,2010-07-27,25.258180235970894,summer
New York,2010-07-28,25.974228525503214,summer
New York,2010-07-29,14.834210022665824,summer
New York,2010-07-30,22.8885634952441,summer
New York,2010-07-31,28.80197810684089,summer
New York,2010-08-01,23.475304265072545,summer
